ID,Name,Category,Location,Image1,Image2,Image3,Image4,Image5,Food Quality,Value,Service,Portion Size,Overall,Would Return,Review,Date,Featured
1,Joe's BBQ Shack,BBQ,"Jonesboro, AR",joes-bbq-1.jpg,joes-bbq-2.jpg,joes-bbq-3.jpg,,,5,4,5,5,5,Yes,"Perfectly smoked ribs with incredible bark and tender meat that falls off the bone - true BBQ mastery.",2026-01-28,Yes
2,Burger Palace,Burgers,"Little Rock, AR",burger-palace-1.jpg,burger-palace-2.jpg,,,,4,5,4,4,4,Yes,"Solid burger construction with fresh ingredients and house-made sauce, great value for the price point.",2026-01-25,No
3,The Riverside Grill,Fine Dining,"Hot Springs, AR",riverside-1.jpg,riverside-2.jpg,riverside-3.jpg,riverside-4.jpg,,5,3,5,3,5,Yes,"Exceptional plating and precision cooking showcase culinary excellence, though portions are refined and prices premium.",2026-01-22,No
4,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,